"Bot Name:","Travel Assistant"
"Report name:","travel assistance btest v1"
"Bot Language:","en"
"Run Type:","inDevelopment"
"Threshold Setting","Mode","minThreshold","maxThreshold","exactMatchThreshold","isActive","taskMatchTolerance","wordCoverage","suggestionsCount","pathCoverage"
"","ml","0.6","80","90","true","","","",""
"","faq","60","80","95","true","5","","3","50"
"","cs","60","80","","true","","60","",""
"","rr","","","","true","2","","",""
"","extnlu","","","","true","","","",""
"Last tested date and time:","07-23-2023 2:24:32 PM"
"Utterance count:","175"
"Percentage breakdown:","88.57% True Positive","0.00% True Negative","11.43% False Positive","0.00% False Negative"
"Success / Failure Ratio:","88.57"
"F1 Score:","0.94"
"Precision:","0.89"
"Recall:","1.00"
"Total Entities Count:","109"
"Matched Entities Count:","87"
"Entities Success / Failure Ration:","79.82"
"Utterance","ExpectedIntent","MatchedIntent","Parent Intent","TaskState","ResultType","Entity Name","Expected EntityValue","Matched EntityValue","Entity Result","Expected Entity Order","Actual Entity Order","EntityIdentifiedBy","entityIdentifiedUsing","entityNERConfidenceScore","Matched Intent's Score","Expected Intent's Score"
"I need to book a taxi","Book Cab","book cab","None","configured","TP","","","","","","cabNumberEntity","","","","ML: 0.974; RR: 97.39999999999999","ML: 0.974; RR: 97.39999999999999"
"Can you help me book a cab?","Book Cab","book cab","None","configured","TP","","","","","","cabNumberEntity","","","","ML: 0.931; RR: 93.10000000000001","ML: 0.931; RR: 93.10000000000001"
"I'd like to get a cab","Book Cab","book cab | cancel cab","None","configured | configured","FP","","","","","","cabNumberEntity","","","","ML: 0.913; RR: 91.3 | ML: 0.92; RR: 92","ML: 0.913; RR: 91.3"
"I want to change my flight booking","Modify flight details","modify flight details","None","configured","TP","","","","","","changeOrCancelFlight","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Need to update destination my booked flight","Modify flight details","change cab location | modify flight details","None","configured | configured","FP","changeOrCancelFlight","update destination","None","False","changeOrCancelFlight","changeOrCancelFlight","","","","FM: 11029.05; RR: 11029.05 | ML: 100; RR: 100","ML: 100; RR: 100"
"Please change the flight details","Modify flight details","modify flight details","None","configured","TP","","","","","","changeOrCancelFlight","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Flight cancellation needed","Modify flight details","modify flight details","None","configured","TP","changeOrCancelFlight","Flight cancellation","Cancel Flight","False","changeOrCancelFlight","changeOrCancelFlight","ML Engine","NER","","ML: 100; RR: 100","ML: 100; RR: 100"
"Can I alter the date of my flight?","Modify flight details","modify flight details","None","configured","TP","changeOrCancelFlight","alter the date","Change Date","False","changeOrCancelFlight","changeOrCancelFlight","ML Engine","NER","","ML: 99; RR: 99","ML: 99; RR: 99"
"I need to modify my flight booking","Modify flight details","modify flight details","None","configured","TP","","","","","","changeOrCancelFlight","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Need to be drop flight booking","Modify flight details","modify flight details","None","configured","TP","changeOrCancelFlight","drop flight booking","Cancel Flight","False","changeOrCancelFlight","changeOrCancelFlight","ML Engine","NER","","ML: 100; RR: 100","ML: 100; RR: 100"
"Can I update my booked flight, I want to cancel my flight","Modify flight details","cancel flight | modify flight details","None","configured | configured","FP","changeOrCancelFlight","cancel my flight","None","False","changeOrCancelFlight","changeOrCancelFlight","","","","FM: 10611.19; RR: 10611.19 | ML: 100; RR: 100","ML: 100; RR: 100"
"Can I cancel my flight?","Modify flight details","cancel flight | modify flight details","None","configured | configured","FP","changeOrCancelFlight","cancel my flight","None","False","changeOrCancelFlight","changeOrCancelFlight","","","","FM: 11326.67; RR: 11326.67 | ML: 98; RR: 98","ML: 98; RR: 98"
"I would like to update the destination of my flight","Modify flight details","change cab location | modify flight details","None","configured | configured","FP","changeOrCancelFlight","update the destination","None","False","changeOrCancelFlight","changeOrCancelFlight","","","","FM: 11893.33; RR: 11893.33 | ML: 100; RR: 100","ML: 100; RR: 100"
"I want to change the date of my flight from Tuesday","Modify flight details","change flight date","None","configured","FP","changeOrCancelFlight","change the date","None","False","changeOrCancelFlight","changeOrCancelFlight","","","","ML: 0.836; RR: 83.6",""
"I'd like to cancel my flight","Modify flight details","cancel flight | modify flight details","None","configured | configured","FP","changeOrCancelFlight","cancel my flight","None","False","changeOrCancelFlight","changeOrCancelFlight","","","","FM: 11893.33; RR: 11893.33 | ML: 100; RR: 100","ML: 100; RR: 100"
"I want to change my flight details","Modify flight details","modify flight details","None","configured","TP","","","","","","changeOrCancelFlight","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"I want to change a booked cab","Modify cab details","modify cab details","None","configured","TP","","","","","","changeOrCancelCab","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"I need to change the destination of my flight","Modify flight details","change flight location","None","configured","FP","changeOrCancelFlight","change the destination","None","False","changeOrCancelFlight","changeOrCancelFlight","","","","ML: 0.83; RR: 83",""
"Can I modify my flight booking?","Modify flight details","modify flight details","None","configured","TP","","","","","","changeOrCancelFlight","","","","ML: 98; RR: 98","ML: 98; RR: 98"
"I need to make a change to my cab booking? can I change the location","Modify cab details","modify cab details","None","configured","TP","changeOrCancelCab","change the location","Change Location","False","changeOrCancelCab","changeOrCancelCab","ML Engine","NER","","ML: 0.912; RR: 91.2","ML: 0.912; RR: 91.2"
"Change location of my cab booking","Modify cab details","modify cab details","None","configured","TP","changeOrCancelCab","Change location","Change Location","True","changeOrCancelCab","changeOrCancelCab","ML Engine","NER","","ML: 100; RR: 100","ML: 100; RR: 100"
"Can you change my cab booking?","Modify cab details","modify cab details","None","configured","TP","","","","","","changeOrCancelCab","","","","ML: 98; RR: 98","ML: 98; RR: 98"
"I need to change the location of my cab booking","Modify cab details","modify cab details","None","configured","TP","changeOrCancelCab","change the location","Change Location","False","changeOrCancelCab","changeOrCancelCab","ML Engine","NER","","ML: 100; RR: 100","ML: 100; RR: 100"
"I want to change my cab booking details","Modify cab details","modify cab details","None","configured","TP","","","","","","changeOrCancelCab","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"I want to cancel my cab booking","Modify cab details","cancel cab | modify cab details","None","configured | configured","FP","changeOrCancelCab","cancel my cab booking","None","False","changeOrCancelCab","changeOrCancelCab","","","","FM: 10751.27; RR: 10751.27 | ML: 100; RR: 100","ML: 100; RR: 100"
"Can I change the location of my cab booking?","Modify cab details","modify cab details","None","configured","TP","changeOrCancelCab","change the location","Change Location","False","changeOrCancelCab","changeOrCancelCab","ML Engine","NER","","ML: 99; RR: 99","ML: 99; RR: 99"
"I want to modify the cab booking details","Modify cab details","modify cab details","None","configured","TP","","","","","","changeOrCancelCab","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"I need to alter my cab booking can I cancel cab","Modify cab details","cancel cab | modify cab details","None","configured | configured","FP","","","","","","changeOrCancelCab","","","","FM: 10906.7; RR: 10906.7 | ML: 100; RR: 100","ML: 100; RR: 100"
"what are the options to modify cab booking?","Modify cab details","modify cab details","None","configured","TP","","","","","","changeOrCancelCab","","","","ML: 99; RR: 99","ML: 99; RR: 99"
"I would like to cancel the cab booking","Modify cab details","cancel cab | modify cab details","None","configured | configured","FP","","","","","","changeOrCancelCab","","","","FM: 11693.33; RR: 11693.33 | ML: 100; RR: 100","ML: 100; RR: 100"
"I would like to change the location of my cab booking","Modify cab details","modify cab details","None","configured","TP","","","","","","changeOrCancelCab","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Can you tell me what flights I have booked?","Get Flight Details","get flight details","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 99; RR: 99","ML: 99; RR: 99"
"Can I change the cab booking details?","Modify cab details","modify cab details","None","configured","TP","","","","","","changeOrCancelCab","","","","ML: 99; RR: 99","ML: 99; RR: 99"
"I want to change cab booking location","Modify cab details","change cab location | modify cab details","None","configured | configured","FP","","","","","","changeOrCancelCab","","","","FM: 10493.33; RR: 10493.33 | ML: 100; RR: 100","ML: 100; RR: 100"
"Show all my flight bookings","Get Flight Details","get flight details","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Tell me my flight bookings here's my phone number 94123456789","Get Flight Details","get flight details","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","phoneNumberEntity","phoneNumberEntity","FM Engine","systemEntity","","ML: 1; RR: 100","ML: 1; RR: 100"
"What are my flight booking details?","Get Flight Details","get flight details","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 99; RR: 99","ML: 99; RR: 99"
"Could I get the flight booking details contact number is 94123456789","Get Flight Details","get flight details","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","phoneNumberEntity","phoneNumberEntity","ML Engine","NER","","ML: 1; RR: 100","ML: 1; RR: 100"
"I'd like to get the flight booking details, please.","Get Flight Details","get flight details","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 99; RR: 99","ML: 99; RR: 99"
"Please tell me my flight booking for number 94123456789","Get Flight Details","get flight details","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","phoneNumberEntity","phoneNumberEntity","ML Engine","NER","","ML: 1; RR: 100","ML: 1; RR: 100"
"List me the booked flights","Get Flight Details","get flight details","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"I need to know the flight bookings associated with 94123456789","Get Flight Details","get flight details","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","phoneNumberEntity","phoneNumberEntity","ML Engine","NER","","ML: 1; RR: 100","ML: 1; RR: 100"
"Can you give me the booking information for my flights","Get Flight Details","get flight details","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Tell me what are my cab bookings","Get Cab Details","get cab details","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Show me my booked cabs","Get Cab Details","get cab details","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Can you tell my booked cab details?","Get Cab Details","get cab details","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 99; RR: 99","ML: 99; RR: 99"
"Do I have cab reservations with 94123456789","Get Cab Details","get cab details","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","phoneNumberEntity","phoneNumberEntity","ML Engine","NER","","ML: 1; RR: 100","ML: 1; RR: 100"
"Need to know my cab booking details","Get Cab Details","get cab details","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"I need to see my booked cabs here's contact number 94123456789","Get Cab Details","get cab details","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","phoneNumberEntity","phoneNumberEntity","FM Engine","systemEntity","","ML: 1; RR: 100","ML: 1; RR: 100"
"I would like to know the details of my cab booking","Get Cab Details","get cab details","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Can you tell me the details of my cab booking?","Get Cab Details","get cab details","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 99; RR: 99","ML: 99; RR: 99"
"What is the status cab bookings my phone number is 94123456789","Get Cab Details","get cab details | check cab availability","None","configured | configured","FP","phoneNumberEntity","94123456789","None","False","phoneNumberEntity","phoneNumberEntity","","","","ML: 1; RR: 100 | FM: 8645.71; RR: 8645.71","ML: 1; RR: 100"
"What are the available flights?","Check flight availability","check flight availability","None","configured","TP","","","","","","","","","","ML: 98; FM: 8745.71; RR: 98","ML: 98; FM: 8745.71; RR: 98"
"Can I know the available flights?","Check flight availability","check flight availability","None","configured","TP","","","","","","","","","","ML: 98; FM: 10982.22; RR: 98","ML: 98; FM: 10982.22; RR: 98"
"I need the details of all my cab bookings","Get Cab Details","get cab details","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Please tell me the flight status","Check flight availability","check flight availability","None","configured","TP","","","","","","","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Tell me which flights are available","Check flight availability","check flight availability","None","configured","TP","","","","","","","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Check flight availability","Check flight availability","check flight availability","None","configured","TP","","","","","","","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Do you have any flights available for me to book?","Check flight availability","check flight availability","None","configured","TP","","","","","","","","","","ML: 99; RR: 99","ML: 99; RR: 99"
"Could you tell me the status of the flight I'm taking?","Check flight availability","check flight availability","None","configured","TP","","","","","","","","","","ML: 99; FM: 10795.71; RR: 99","ML: 99; FM: 10795.71; RR: 99"
"What is the status of flights?","Check flight availability","check flight availability","None","configured","TP","","","","","","","","","","ML: 98; FM: 10651.27; RR: 98","ML: 98; FM: 10651.27; RR: 98"
"Tell me the cab availability","Check cab availability","check cab availability","None","configured","TP","","","","","","","","","","ML: 100; FM: 11045.71; RR: 100","ML: 100; FM: 11045.71; RR: 100"
"Show me a list of available flights?","Check flight availability","check flight availability","None","configured","TP","","","","","","","","","","ML: 99; FM: 10732.22; RR: 99","ML: 99; FM: 10732.22; RR: 99"
"I need to make a flight reservation what are the available flights?","Check flight availability","check flight availability","None","configured","TP","","","","","","","","","","ML: 99; FM: 10586.19; RR: 99","ML: 99; FM: 10586.19; RR: 99"
"What cabs are available now?","Check cab availability","check cab availability","None","configured","TP","","","","","","","","","","ML: 98; FM: 8629.05; RR: 98","ML: 98; FM: 8629.05; RR: 98"
"Check available cabs","Check cab availability","check cab availability","None","configured","TP","","","","","","","","","","ML: 100; FM: 11243.33; RR: 100","ML: 100; FM: 11243.33; RR: 100"
"Please tell me which cabs are available","Check cab availability","check cab availability","None","configured","TP","","","","","","","","","","ML: 100; FM: 10693.33; RR: 100","ML: 100; FM: 10693.33; RR: 100"
"What cab services are available for my journey?","Check cab availability","check cab availability","None","configured","TP","","","","","","","","","","ML: 99; FM: 8460; RR: 99","ML: 99; FM: 8460; RR: 99"
"Are there any cabs available?","Check cab availability","check cab availability","None","configured","TP","","","","","","","","","","ML: 98; FM: 8745.71; RR: 98","ML: 98; FM: 8745.71; RR: 98"
